Summary,Requirement ID,Description,,,Requirement Rationale,Notes,
Application Initialization,CS1000,"When reset, the CS Application shall initialize the application as follows:",,,To ensure the CS Application starts in a known and consistent state upon reset,,
,,"1) ""Recompute In-Progress Flag"" to 'FALSE'",,,,,
,,"2) ""One Shot In-Progress Flag"" to 'FALSE'",,,,,
,,"3) ""Global Checksum State"" to 'ENABLED'",,,,,
,,"4) ""Non-volatile Memory Table Checksum State"" to 'ENABLED'",,,,"Initial ""Non-volatile Memory Table Checksum State"" is configurable",
,,"5) ""User-defined Memory Table Checksum State"" to 'ENABLED'",,,,"Initial ""User-defined Memory Table Checksum State"" is configurable",
,,"6) ""Application Table Checksum State"" to 'ENABLED'",,,,"Initial ""Application Table Checksum State"" is configurable",
,,"7) ""Table of cFE Tables Checksum State"" to 'ENABLED'",,,,"Initial ""Table of cFE Tables Checksum State"" is configurable",
,,"8) ""OS Checksum State"" to 'ENABLED'",,,,"Initial ""OS Checksum State"" is configurable",
,,"9) ""cFE Core Checksum State"" to 'ENABLED'",,,,"Initial ""cFE Core Checksum State"" is configurable",
,,"7) Issue an event message stating the CS Application initialized, including the application version number",,,,,
CDS Restoration Flag,CS1001,"When attempting to register the CDS, if the ""Preserve States on Processor or Application Reset Flag"" is 'FALSE' the CS Application shall not register or update a CDS",,,To prevent unintended state changes or data corruption during restarts by ensuring that checksum states are not preserved if the system is explicitly configured not to do so.,"""Preserve States on Processor or Application Reset Flag"" is configurable",
CDS Restoration Failure,CS1002,"When registering the CDS, if restoration of the contents fails, the CS Application shall abort the cFE start up process and write an explanation of the failure to the system log",,,To ensure critical system integrity by halting the startup process and logging detailed information if the foundational CDS cannot be restored.,,
CDS Restoration Success,CS1003,"When registering the CDS, if restoration of the contents succeeds, the CS Application shall restore:",,,To maintain continuous monitoring by restoring the exact checksum states that were active before a reset,,
,,"1) ""OS Checksum State""",,,,,
,,"2) ""cFE Core Checksum State""",,,,,
,,"3) ""Non-volatile Checksum State""",,,,,
,,"4) ""Application Table Checksum State""",,,,,
,,"5) ""Table of cFE Tables Checksum State""",,,,,
,,"6) ""User-defined Memory Checksum State""",,,,,
Counter Initialization,CS1010,"When reset, the CS Application shall set the following counters to 0:",,,To ensure accurate tracking of CS Application operations by resetting relevant counters to zero upon start up,,
,,"1) ""Commands Processed Counter""",,,,,
,,"2) ""Command Error Counter""",,,,,
,,"3) ""Non-volatile Memory Table Miscompare Counter""",,,,,
,,"4) ""OS Miscompare Counter""",,,,,
